time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-12-22 07:32:03.876 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1513927922850, , , , ,3145728, , , , ,72,3,120,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , ,9,372,11557336,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 07:32:49.575 UTC, ,125,3167925,1288,22072, , ,5, ,21, , , , , , , , , ,5,5, , , , ,2,8, ,12, , , , , , , , , , , , , , ,2932,2,1255,1724,1, ,5,10, ,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513927922850, , , , ,3145728, , , , ,47,1,47,1,2,1, , ,3,1, , , , , , , , , , , ,4096,2,1851,1, , , , , , , , ,14070784,-1, , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,1,4,1, , , , , , 
2017-12-22 07:34:10.889 UTC, ,125,3160365,1288,14512, , ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,20,10, , , , , , , , , , , , , ,3421,3, ,3059, , , , , ,38,38, , , , , ,1,53, , , , , , , , , , , , , , , , , , , , , , , , ,1513928050302, , , , ,3145728, , , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100931,29, , , , , , , , ,9,547,15261264,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 07:34:10.985 UTC, ,125,3166917,1288,21064, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,3,3,7, ,8,2, , , , , , , , , , , , , ,4006,4,476,3535,1,1,1,3, ,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513928050302, , , , ,3145728, , , ,6,44,1,44,1,3,1, , ,3,1, , , ,6,1, , , , , , ,14413,9,584,1, , , , , , , , ,17373128,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2017-12-22 07:34:30.285 UTC, ,125,3160413,1288,14560, , ,3,2,19,3,0.16, , , , , , , ,3,3, ,2,2,2,1,5, ,24,12, , , , , , , , , , , , , ,4486,5, ,4133, , , , , ,35,35, , , , , ,1,65, , , , , , , , , , , , , , , , , , , , , , , , ,1513928069396, , , , ,3145728, , , ,22,0, , , ,2, , , ,3, , , , ,22, ,2048,1, , , , ,105180,33, , , , , , , , ,9,78,12680624,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 07:34:30.403 UTC, ,125,3166965,1288,21112, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,3,3,7, ,8,2, , , , , , , , , , , , , ,5113,6,468,4601,1,1,1,3, ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513928069396, , , , ,3145728, , , ,6,44,1,44,1,3,1, , ,3,1, , , ,6,1, , , , , , ,14413,9,626,1, , , , , , , , ,14771832,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2017-12-22 07:34:54.984 UTC, ,125,3160461,1288,14608, , ,3,2,19,3,0.16, , , , , , , ,3,3, ,2,2,2,1,5, ,28,14, , , , , , , , , , , , , ,5597,7, ,5240, , , , , ,31,31, , , , , ,1,77, , , , , , , , , , , , , , , , , , , , , , , , ,1513928094352, , , , ,3145728, , , ,24,0, , , ,2, , , ,3, , , , ,24, ,2048,1, , , , ,105339,35, , , , , , , , ,9,359,12273040,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 07:34:55.072 UTC, ,125,3167013,1288,21160, , ,5, ,10,2,0.20, , , , , , , ,5,5, , , ,3,3,7, ,8,2, , , , , , , , , , , , , ,6254,8,472,5712,1,1,1,3, ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513928094352, , , , ,3145728, , , ,6,37,1,37,1,3,1, , ,3,1, , , ,6,1, , , , , , ,14413,9,656,1, , , , , , , , ,14288368,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2017-12-22 08:07:21.519 UTC, ,125,3160509,1288,14656, , ,3,2,19,3,0.16, , , , , , , ,3,3, ,2,2,2,1,5, ,32,16, , , , , , , , , , , , , ,6741,9, ,6381, , , , , ,28,28, , , , , ,1,89, , , , , , , , , , , , , , , , , , , , , , , , ,1513930040931, , , , ,3145728, , , ,26,0, , , ,2, , , ,3, , , , ,26, ,2048,1, , , , ,105497,37, , , , , , , , ,9,188,14386584,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-22 08:07:26.231 UTC, ,125,3167301,1288,21448, , ,5, ,17,2,0.12, , , , , , , ,5,5, , , ,3,2,8, ,13,3, , , , , , , , , , , , , ,7772,10,540,6921,1,1,2,5, ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1513930040931, , , , ,3145728, , , ,7,72,1,72,1,3,1, , ,3,1, , , ,7,1, , , , , , ,14477,10,1030,1, , , , , , ,1,4,16590480,-1, , , , , , ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,3,2, , , , , , , 
